Subfield,Bin 1 (90-100th %),Bin 2 (50-90th %),Bin 3 (10-50th %),Bin 4 (0-10th %)
Periodontics,"[39201, 104]","[104, 28]","[28, 11]","[11, 0]"
Pharmaceutical_Science,"[27330, 120]","[120, 34]","[34, 14]","[14, 0]"
Pharmacology_and_Toxicology,"[77327, 131]","[131, 35]","[35, 14]","[14, 0]"
Pharmacy,"[19446, 61]","[61, 16]","[16, 6]","[6, 0]"
Philosophy,"[16097, 43]","[43, 9]","[9, 3]","[3, 0]"
Physical_and_Theoretical_Chemistry,"[39788, 110]","[110, 30]","[30, 12]","[12, 0]"
Physical_Therapy_Sports_Therapy_and_Rehabilitation,"[32830, 80]","[80, 16]","[16, 5]","[5, 0]"
Physiology,"[117801, 194]","[194, 47]","[47, 17]","[17, 0]"
Plant_Science,"[100977, 173]","[173, 36]","[36, 12]","[12, 0]"
Political_Science_and_International_Relations,"[26459, 46]","[46, 9]","[9, 3]","[3, 0]"
Pollution,"[49606, 163]","[163, 41]","[41, 15]","[15, 0]"
Polymers_and_Plastics,"[40238, 155]","[155, 40]","[40, 15]","[15, 0]"
Process_Chemistry_and_Technology,"[13130, 130]","[130, 38]","[38, 16]","[16, 0]"
Psychiatry_and_Mental_health,"[98245, 167]","[167, 39]","[39, 14]","[14, 0]"
Public_Administration,"[14713, 77]","[77, 18]","[18, 7]","[7, 0]"
Public_Health_Environmental_and_Occupational_Health,"[105872, 131]","[131, 30]","[30, 11]","[11, 0]"
Pulmonary_and_Respiratory_Medicine,"[92080, 176]","[176, 39]","[39, 13]","[13, 0]"
Radiation,"[19849, 134]","[134, 30]","[30, 11]","[11, 0]"
Radiological_and_Ultrasound_Technology,"[9465, 64]","[64, 18]","[18, 7]","[7, 0]"
Rehabilitation,"[31445, 120]","[120, 32]","[32, 12]","[12, 0]"
Religious_studies,"[3062, 28]","[28, 5]","[5, 2]","[2, 0]"
Renewable_Energy_Sustainability_and_the_Environment,"[191774, 228]","[228, 49]","[49, 17]","[17, 0]"
Reproductive_Medicine,"[42314, 143]","[143, 36]","[36, 13]","[13, 0]"
Research_and_Theory,"[5633, 77]","[77, 26]","[26, 12]","[12, 0]"
Rheumatology,"[88509, 128]","[128, 32]","[32, 12]","[12, 0]"
Safety_Research,"[48247, 70]","[70, 16]","[16, 6]","[6, 0]"
Safety_Risk_Reliability_and_Quality,"[23110, 51]","[51, 11]","[11, 4]","[4, 0]"
Sensory_Systems,"[39533, 169]","[169, 47]","[47, 20]","[20, 0]"
Signal_Processing,"[33377, 82]","[82, 18]","[18, 7]","[7, 0]"
Small_Animals,"[21439, 81]","[81, 23]","[23, 9]","[9, 0]"
Social_Psychology,"[150335, 117]","[117, 27]","[27, 9]","[9, 0]"
Sociology_and_Political_Science,"[60591, 79]","[79, 15]","[15, 5]","[5, 0]"
Software,"[15354, 61]","[61, 13]","[13, 5]","[5, 0]"
Soil_Science,"[55021, 121]","[121, 24]","[24, 8]","[8, 0]"
Space_and_Planetary_Science,"[1906, 32]","[32, 9]","[9, 3]","[3, 0]"
Spectroscopy,"[149717, 151]","[151, 42]","[42, 17]","[17, 0]"
Speech_and_Hearing,"[13731, 62]","[62, 16]","[16, 6]","[6, 0]"
Statistical_and_Nonlinear_Physics,"[124308, 126]","[126, 28]","[28, 10]","[10, 0]"
Statistics_and_Probability,"[112535, 134]","[134, 28]","[28, 10]","[10, 0]"
Statistics_Probability_and_Uncertainty,"[417050, 79]","[79, 18]","[18, 7]","[7, 0]"
Strategy_and_Management,"[68143, 74]","[74, 13]","[13, 4]","[4, 0]"
Structural_Biology,"[14676, 157]","[157, 40]","[40, 16]","[16, 0]"
Surfaces_Coatings_and_Films,"[74423, 138]","[138, 36]","[36, 14]","[14, 0]"
Surgery,"[135145, 172]","[172, 38]","[38, 13]","[13, 0]"
Theoretical_Computer_Science,"[4708, 39]","[39, 8]","[8, 3]","[3, 0]"
Tourism_Leisure_and_Hospitality_Management,"[4677, 64]","[64, 15]","[15, 5]","[5, 0]"
Toxicology,"[9903, 88]","[88, 30]","[30, 14]","[14, 0]"
Transplantation,"[29687, 131]","[131, 32]","[32, 12]","[12, 0]"
Transportation,"[34199, 74]","[74, 15]","[15, 5]","[5, 0]"
Urban_Studies,"[12229, 29]","[29, 6]","[6, 3]","[3, 0]"
Urology,"[28769, 93]","[93, 26]","[26, 10]","[10, 0]"
Virology,"[60089, 244]","[244, 56]","[56, 22]","[22, 0]"
Visual_Arts_and_Performing_Arts,"[4221, 24]","[24, 6]","[6, 2]","[2, 0]"
Water_Science_and_Technology,"[71378, 129]","[129, 28]","[28, 9]","[9, 0]"
Radiology_Nuclear_Medicine_and_Imaging,"[69091, 155]","[155, 36]","[36, 13]","[13, 0]"
